user_id,plan,mrr,start_date,end_date
U00829,Free,0,2025-10-04,2025-12-01
U00829,Starter,15,2025-12-01,2026-04-27
U00835,Free,0,2026-01-27,2026-02-12
U00835,Enterprise,199,2026-02-12,
U00845,Free,0,2026-01-23,2026-03-04
U00845,Pro,49,2026-03-04,2026-07-18
U00869,Free,0,2025-06-30,2025-07-04
U00869,Starter,15,2025-07-04,2025-10-22
U00870,Free,0,2026-05-19,2026-05-29
U00870,Enterprise,199,2026-05-29,2026-07-11
U00876,Free,0,2026-02-24,2026-06-19
U00876,Enterprise,199,2026-06-19,
U00881,Free,0,2026-01-26,2026-03-20
U00881,Starter,15,2026-03-20,
U00901,Free,0,2025-07-25,2026-06-13
U00901,Pro,49,2026-06-13,
U00913,Free,0,2026-03-27,2026-06-21
U00913,Starter,15,2026-06-21,
U00918,Free,0,2026-04-12,2026-04-22
U00918,Starter,15,2026-04-22,
U00924,Free,0,2025-09-28,2025-12-08
U00924,Pro,49,2025-12-08,
U00934,Free,0,2026-05-14,2026-05-16
U00934,Starter,15,2026-05-16,
U00937,Free,0,2025-08-09,2025-09-16
U00937,Starter,15,2025-09-16,2026-03-05
U00958,Free,0,2025-10-29,2026-02-12
U00958,Pro,49,2026-02-12,
U00986,Free,0,2025-10-24,2025-12-25
U00986,Pro,49,2025-12-25,
U01047,Free,0,2025-07-29,2026-02-07
U01047,Pro,49,2026-02-07,
U01052,Free,0,2025-12-22,2026-01-07
U01052,Starter,15,2026-01-07,2026-05-05
U01055,Free,0,2025-12-23,2026-01-22
U01055,Enterprise,199,2026-01-22,
U01066,Free,0,2026-01-30,2026-06-22
U01066,Starter,15,2026-06-22,
U01069,Free,0,2025-07-06,2026-01-11
U01069,Pro,49,2026-01-11,
U01085,Free,0,2025-11-20,2026-01-12
U01085,Pro,49,2026-01-12,
U01109,Free,0,2025-02-25,2025-03-27
U01109,Starter,15,2025-03-27,
U01137,Free,0,2025-08-01,2025-09-20
U01137,Pro,49,2025-09-20,
U01186,Free,0,2025-05-21,2025-05-27
U01186,Starter,15,2025-05-27,
U01226,Free,0,2025-11-02,2026-04-01
U01226,Starter,15,2026-04-01,
U01231,Free,0,2025-08-03,2026-07-01
U01231,Starter,15,2026-07-01,
U01232,Free,0,2025-05-05,2025-05-13
U01232,Starter,15,2025-05-13,2025-08-03
U01248,Free,0,2025-04-27,2025-06-02
U01248,Starter,15,2025-06-02,
U01255,Free,0,2025-10-11,2025-11-04
U01255,Pro,49,2025-11-04,
U01263,Free,0,2025-06-12,2025-07-10
U01263,Starter,15,2025-07-10,
U01266,Free,0,2026-01-14,2026-03-27
U01266,Starter,15,2026-03-27,
U01269,Free,0,2026-05-22,2026-06-16
U01269,Enterprise,199,2026-06-16,
U01272,Free,0,2025-10-05,2025-10-26
U01272,Starter,15,2025-10-26,
U01277,Free,0,2025-12-02,2025-12-30
U01277,Starter,15,2025-12-30,2026-04-26
U01281,Free,0,2025-12-19,2026-04-26
U01281,Starter,15,2026-04-26,
U01298,Free,0,2026-02-06,2026-04-27
U01298,Pro,49,2026-04-27,
U01311,Free,0,2026-03-13,2026-06-02
U01311,Starter,15,2026-06-02,
U01315,Free,0,2026-02-20,2026-03-08
U01315,Starter,15,2026-03-08,2026-03-09
U01333,Free,0,2025-08-29,2026-05-26
U01333,Pro,49,2026-05-26,
U01339,Free,0,2025-09-11,2026-03-24
U01339,Starter,15,2026-03-24,
U01341,Free,0,2025-12-12,2026-03-26
U01341,Pro,49,2026-03-26,
U01345,Free,0,2026-01-28,2026-04-24
U01345,Pro,49,2026-04-24,
U01352,Free,0,2025-08-17,2025-09-11
U01352,Starter,15,2025-09-11,2025-09-11
U01374,Free,0,2025-11-30,2026-05-11
U01374,Starter,15,2026-05-11,
U01391,Free,0,2025-06-23,2025-08-11
U01391,Pro,49,2025-08-11,
U01400,Free,0,2025-04-25,2026-03-15
U01400,Starter,15,2026-03-15,
U01401,Free,0,2026-04-28,2026-06-07
U01401,Pro,49,2026-06-07,
U01404,Free,0,2025-06-06,2025-08-12
U01404,Starter,15,2025-08-12,
U01418,Free,0,2026-01-27,2026-01-27
U01418,Starter,15,2026-01-27,
U01420,Free,0,2026-06-04,2026-06-11
U01420,Pro,49,2026-06-11,
U01436,Free,0,2025-07-19,2025-10-06
U01436,Pro,49,2025-10-06,2025-12-24
U01442,Free,0,2025-04-30,2025-10-30
U01442,Pro,49,2025-10-30,2026-03-15
U01482,Free,0,2025-06-10,2026-05-21
U01482,Starter,15,2026-05-21,2026-06-15
U01492,Free,0,2026-02-03,2026-04-04
U01492,Pro,49,2026-04-04,
U01507,Free,0,2025-07-17,2026-04-09
U01507,Pro,49,2026-04-09,2026-04-20
U01519,Free,0,2025-05-12,2025-09-18
U01519,Starter,15,2025-09-18,
U01528,Free,0,2025-11-30,2025-12-25
U01528,Pro,49,2025-12-25,2026-03-29
U01528,Free,0,2025-12-25,2026-04-15
U01528,Enterprise,199,2026-04-15,
U01533,Free,0,2026-05-24,2026-06-16
U01533,Starter,15,2026-06-16,
U01543,Free,0,2025-06-13,2025-09-08
U01543,Starter,15,2025-09-08,
U01545,Free,0,2025-06-20,2025-06-29
U01545,Pro,49,2025-06-29,
U01546,Free,0,2025-08-09,2025-10-05
U01546,Enterprise,199,2025-10-05,
U01554,Free,0,2025-12-02,2026-05-31
U01554,Starter,15,2026-05-31,
U01557,Free,0,2026-02-25,2026-03-07
U01557,Enterprise,199,2026-03-07,
U01561,Free,0,2025-09-18,2025-11-17
U01561,Pro,49,2025-11-17,
U01575,Free,0,2026-05-18,2026-05-27
U01575,Starter,15,2026-05-27,
U01577,Free,0,2025-01-25,2025-10-06
U01577,Pro,49,2025-10-06,
U01580,Free,0,2026-02-21,2026-06-08
U01580,Pro,49,2026-06-08,2026-08-05
U01582,Free,0,2025-01-20,2025-04-25
U01582,Enterprise,199,2025-04-25,2025-05-20
U01582,Free,0,2025-04-25,2026-01-06
U01582,Starter,15,2026-01-06,
U01589,Free,0,2025-09-21,2026-02-02
U01589,Starter,15,2026-02-02,2026-05-12
U01608,Free,0,2025-09-08,2025-10-11
U01608,Starter,15,2025-10-11,
U01632,Free,0,2026-01-17,2026-03-13
U01632,Starter,15,2026-03-13,
U01639,Free,0,2025-07-13,2025-10-22
U01639,Pro,49,2025-10-22,2026-07-12
U01682,Free,0,2025-11-08,2026-01-05
U01682,Enterprise,199,2026-01-05,2026-03-18
U01682,Free,0,2026-01-05,2026-03-25
U01682,Pro,49,2026-03-25,
U01689,Free,0,2025-12-02,2025-12-30
U01689,Pro,49,2025-12-30,2026-08-03
U01710,Free,0,2025-11-22,2026-03-04
U01710,Starter,15,2026-03-04,
U01739,Free,0,2025-05-29,2026-02-24
U01739,Pro,49,2026-02-24,
U01746,Free,0,2025-01-21,2025-09-13
U01746,Starter,15,2025-09-13,
U01748,Free,0,2025-11-17,2026-03-12
U01748,Starter,15,2026-03-12,
U01762,Free,0,2026-05-21,2026-06-21
U01762,Pro,49,2026-06-21,
U01764,Free,0,2025-05-20,2025-06-10
U01764,Pro,49,2025-06-10,2025-12-27
U01775,Free,0,2025-08-07,2025-12-24
U01775,Enterprise,199,2025-12-24,
U01785,Free,0,2026-03-04,2026-04-11
U01785,Starter,15,2026-04-11,
U01836,Free,0,2026-03-16,2026-06-08
U01836,Pro,49,2026-06-08,
U01846,Free,0,2025-02-12,2025-05-02
U01846,Enterprise,199,2025-05-02,
U01849,Free,0,2025-06-19,2025-06-24
U01849,Starter,15,2025-06-24,2026-04-25
U01899,Free,0,2025-08-28,2025-12-31
U01899,Pro,49,2025-12-31,2026-06-29
U01905,Free,0,2025-10-09,2026-03-14
U01905,Pro,49,2026-03-14,2026-03-16
U01908,Free,0,2025-10-01,2025-12-01
U01908,Starter,15,2025-12-01,
U01913,Free,0,2025-05-13,2026-07-07
U01913,Starter,15,2026-07-07,
U01928,Free,0,2025-10-26,2025-12-17
U01928,Pro,49,2025-12-17,
U02003,Free,0,2026-04-18,2026-06-16
U02003,Pro,49,2026-06-16,
U02004,Free,0,2025-11-12,2026-02-26
U02004,Pro,49,2026-02-26,
U02045,Free,0,2025-03-27,2025-11-27
U02045,Pro,49,2025-11-27,
U02046,Free,0,2026-05-23,2026-06-13
U02046,Pro,49,2026-06-13,
U02077,Free,0,2026-04-09,2026-05-13
U02077,Pro,49,2026-05-13,
U02106,Free,0,2026-06-19,2026-07-04
U02106,Starter,15,2026-07-04,
U02118,Free,0,2026-06-01,2026-06-19
U02118,Pro,49,2026-06-19,
U02120,Free,0,2026-06-25,2026-07-08
U02120,Starter,15,2026-07-08,
U02156,Free,0,2026-06-05,2026-08-01
U02156,Pro,49,2026-08-01,
U02164,Free,0,2025-02-13,2025-02-23
U02164,Starter,15,2025-02-23,2026-04-15
U02180,Free,0,2025-06-15,2025-06-23
U02180,Pro,49,2025-06-23,
U02181,Free,0,2026-01-19,2026-05-29
U02181,Pro,49,2026-05-29,
U02222,Free,0,2025-05-10,2026-02-19
U02222,Enterprise,199,2026-02-19,
U02249,Free,0,2026-07-11,2026-07-14
U02249,Pro,49,2026-07-14,
U02259,Free,0,2025-10-31,2025-12-08
U02259,Starter,15,2025-12-08,
U02287,Free,0,2025-10-30,2026-07-16
U02287,Starter,15,2026-07-16,
U02293,Free,0,2025-04-19,2025-07-15
U02293,Enterprise,199,2025-07-15,
U02313,Free,0,2025-02-15,2025-04-03
U02313,Starter,15,2025-04-03,
U02314,Free,0,2026-05-09,2026-05-14
U02314,Starter,15,2026-05-14,
U02320,Free,0,2025-09-01,2025-12-12
U02320,Enterprise,199,2025-12-12,2026-01-08
U02332,Free,0,2025-07-04,2025-09-14
U02332,Starter,15,2025-09-14,
U02337,Free,0,2025-06-10,2025-07-06
U02337,Pro,49,2025-07-06,
U02339,Free,0,2025-06-07,2026-03-25
U02339,Pro,49,2026-03-25,
U02373,Free,0,2025-05-08,2026-04-17
U02373,Starter,15,2026-04-17,
U02391,Free,0,2026-02-14,2026-07-03
U02391,Starter,15,2026-07-03,
U02408,Free,0,2025-10-05,2026-01-07
U02408,Enterprise,199,2026-01-07,2026-01-22
U02464,Free,0,2026-03-14,2026-03-25
U02464,Starter,15,2026-03-25,
U02466,Free,0,2026-02-17,2026-04-07
U02466,Starter,15,2026-04-07,
U02479,Free,0,2025-10-14,2025-11-02
U02479,Starter,15,2025-11-02,
U02482,Free,0,2026-07-04,2026-07-20
U02482,Enterprise,199,2026-07-20,
U02485,Free,0,2025-10-13,2026-01-28
U02485,Starter,15,2026-01-28,
U02514,Free,0,2025-01-22,2025-07-13
U02514,Enterprise,199,2025-07-13,
U02642,Free,0,2025-10-02,2026-03-11
U02642,Starter,15,2026-03-11,
U02647,Free,0,2025-12-09,2025-12-23
U02647,Starter,15,2025-12-23,
U02664,Free,0,2026-04-18,2026-06-28
U02664,Enterprise,199,2026-06-28,
U02671,Free,0,2025-03-03,2025-03-21
U02671,Pro,49,2025-03-21,2026-06-17
U02677,Free,0,2026-05-18,2026-07-07
U02677,Starter,15,2026-07-07,
U02681,Free,0,2026-04-23,2026-06-29
U02681,Pro,49,2026-06-29,
U02682,Free,0,2025-10-07,2026-02-17
U02682,Starter,15,2026-02-17,
U02687,Free,0,2026-01-22,2026-02-02
U02687,Starter,15,2026-02-02,
U02696,Free,0,2025-07-20,2025-08-03
U02696,Pro,49,2025-08-03,
U02737,Free,0,2025-12-31,2026-04-18
U02737,Starter,15,2026-04-18,
U02753,Free,0,2025-04-02,2025-04-11
U02753,Starter,15,2025-04-11,2025-12-15
U02755,Free,0,2025-09-06,2025-12-06
U02755,Pro,49,2025-12-06,
U02778,Free,0,2025-03-03,2025-03-11
U02778,Starter,15,2025-03-11,
U02779,Free,0,2026-01-17,2026-02-09
U02779,Enterprise,199,2026-02-09,
U02787,Free,0,2026-02-19,2026-02-21
U02787,Starter,15,2026-02-21,
U02791,Free,0,2025-10-16,2025-11-26
U02791,Starter,15,2025-11-26,
U02799,Free,0,2026-03-01,2026-03-20
U02799,Starter,15,2026-03-20,
U02801,Free,0,2025-08-02,2026-02-14
U02801,Starter,15,2026-02-14,
U02814,Free,0,2025-07-23,2026-03-06
U02814,Pro,49,2026-03-06,
U02850,Free,0,2025-10-01,2026-04-29
U02850,Starter,15,2026-04-29,
U02853,Free,0,2025-02-27,2025-08-13
U02853,Pro,49,2025-08-13,
U02861,Free,0,2026-02-08,2026-07-30
U02861,Pro,49,2026-07-30,
U02868,Free,0,2025-05-18,2025-07-31
U02868,Pro,49,2025-07-31,
U02883,Free,0,2025-09-18,2026-02-13
U02883,Pro,49,2026-02-13,
U02887,Free,0,2025-11-09,2026-01-01
U02887,Starter,15,2026-01-01,
U02890,Free,0,2025-09-15,2025-09-20
U02890,Starter,15,2025-09-20,
U02901,Free,0,2026-03-08,2026-05-23
U02901,Pro,49,2026-05-23,
U02951,Free,0,2026-02-14,2026-02-16
U02951,Enterprise,199,2026-02-16,
U02966,Free,0,2025-11-26,2026-01-17
U02966,Pro,49,2026-01-17,
U02984,Free,0,2025-12-06,2026-07-15
U02984,Pro,49,2026-07-15,
U02988,Free,0,2026-06-03,2026-07-10
U02988,Pro,49,2026-07-10,
U02994,Free,0,2026-03-12,2026-06-02
U02994,Pro,49,2026-06-02,
U02997,Free,0,2026-01-12,2026-04-22
U02997,Starter,15,2026-04-22,
U03016,Free,0,2025-07-21,2025-08-16
U03016,Starter,15,2025-08-16,
U03017,Free,0,2025-07-09,2025-11-11
U03017,Starter,15,2025-11-11,
U03029,Free,0,2025-08-09,2025-09-16
U03029,Pro,49,2025-09-16,
U03030,Free,0,2025-02-01,2025-03-16
U03030,Pro,49,2025-03-16,
U03035,Free,0,2025-09-22,2025-11-27
U03035,Starter,15,2025-11-27,
U03056,Free,0,2025-08-02,2025-08-25
U03056,Starter,15,2025-08-25,2026-04-13
U03069,Free,0,2026-02-16,2026-03-01
U03069,Pro,49,2026-03-01,
U03077,Free,0,2025-10-22,2026-01-04
U03077,Enterprise,199,2026-01-04,2026-04-02
U03086,Free,0,2026-06-09,2026-06-24
U03086,Starter,15,2026-06-24,
U03104,Free,0,2025-06-04,2025-06-27
U03104,Starter,15,2025-06-27,2025-12-14
U03126,Free,0,2025-06-18,2025-08-09
U03126,Starter,15,2025-08-09,2025-11-10
U03152,Free,0,2025-10-05,2026-07-01
U03152,Starter,15,2026-07-01,
U03188,Free,0,2025-12-07,2026-02-26
U03188,Starter,15,2026-02-26,
U03281,Free,0,2025-10-15,2025-10-21
U03281,Starter,15,2025-10-21,2026-01-13
U03354,Free,0,2026-05-17,2026-06-30
U03354,Starter,15,2026-06-30,
U03366,Free,0,2026-01-09,2026-05-06
U03366,Starter,15,2026-05-06,
U03371,Free,0,2026-02-12,2026-03-13
U03371,Starter,15,2026-03-13,
U03398,Free,0,2025-09-28,2025-10-31
U03398,Enterprise,199,2025-10-31,2026-04-28
U03398,Free,0,2025-10-31,2026-07-14
U03398,Pro,49,2026-07-14,
U03404,Free,0,2025-10-11,2025-11-22
U03404,Pro,49,2025-11-22,
U03426,Free,0,2026-04-01,2026-05-12
U03426,Enterprise,199,2026-05-12,
U03433,Free,0,2025-01-28,2025-01-28
U03433,Pro,49,2025-01-28,2025-10-10
U03457,Free,0,2025-07-12,2025-08-06
U03457,Starter,15,2025-08-06,2026-02-01
U03458,Free,0,2026-07-30,2026-07-30
U03458,Starter,15,2026-07-30,
U03525,Free,0,2026-05-01,2026-05-15
U03525,Starter,15,2026-05-15,
U03527,Free,0,2026-02-01,2026-03-07
U03527,Pro,49,2026-03-07,
U03534,Free,0,2026-05-09,2026-05-15
U03534,Pro,49,2026-05-15,
U03544,Free,0,2025-11-15,2026-03-31
U03544,Starter,15,2026-03-31,2026-05-03
U03545,Free,0,2025-11-04,2025-11-18
U03545,Starter,15,2025-11-18,
U03546,Free,0,2025-08-24,2026-01-17
U03546,Starter,15,2026-01-17,
U03552,Free,0,2026-05-09,2026-05-27
U03552,Starter,15,2026-05-27,
U03605,Free,0,2025-12-02,2026-01-28
U03605,Starter,15,2026-01-28,2026-03-27
U03609,Free,0,2025-05-04,2025-05-22
U03609,Starter,15,2025-05-22,2026-07-10
U03617,Free,0,2025-09-26,2026-02-23
U03617,Pro,49,2026-02-23,
U03624,Free,0,2025-07-20,2025-09-17
U03624,Pro,49,2025-09-17,2025-10-31
U03667,Free,0,2025-11-12,2025-11-19
U03667,Starter,15,2025-11-19,2026-03-07
U03670,Free,0,2025-10-01,2025-10-17
U03670,Pro,49,2025-10-17,
U03679,Free,0,2025-02-13,2025-02-13
U03679,Pro,49,2025-02-13,2025-07-11
U03697,Free,0,2026-01-31,2026-02-14
U03697,Pro,49,2026-02-14,
U03698,Free,0,2026-04-17,2026-06-08
U03698,Starter,15,2026-06-08,
U03699,Free,0,2025-03-27,2025-06-08
U03699,Pro,49,2025-06-08,2025-06-19
U03709,Free,0,2025-03-03,2025-04-07
U03709,Pro,49,2025-04-07,2026-01-09
U03759,Free,0,2025-12-14,2026-01-02
U03759,Starter,15,2026-01-02,
U03773,Free,0,2025-03-05,2026-01-07
U03773,Starter,15,2026-01-07,
U03784,Free,0,2026-02-16,2026-02-17
U03784,Enterprise,199,2026-02-17,
U03788,Free,0,2026-04-19,2026-06-02
U03788,Pro,49,2026-06-02,
U03830,Free,0,2025-06-23,2025-09-05
U03830,Starter,15,2025-09-05,2026-06-27
U03835,Free,0,2025-09-25,2026-07-20
U03835,Starter,15,2026-07-20,
U03839,Free,0,2026-03-18,2026-05-11
U03839,Starter,15,2026-05-11,
U03876,Free,0,2025-10-25,2025-11-11
U03876,Pro,49,2025-11-11,
U03877,Free,0,2025-09-29,2026-07-23
U03877,Pro,49,2026-07-23,
U03882,Free,0,2026-04-30,2026-07-13
U03882,Pro,49,2026-07-13,
U03883,Free,0,2025-04-23,2025-06-09
U03883,Starter,15,2025-06-09,2026-03-26
U03893,Free,0,2025-05-17,2025-06-28
U03893,Pro,49,2025-06-28,2025-12-21
U03900,Free,0,2025-12-11,2026-03-11
U03900,Starter,15,2026-03-11,
U03911,Free,0,2025-11-02,2025-12-19
U03911,Starter,15,2025-12-19,2025-12-23
U03921,Free,0,2026-04-21,2026-07-16
U03921,Starter,15,2026-07-16,
U03933,Free,0,2025-06-02,2026-03-23
U03933,Starter,15,2026-03-23,
U03934,Free,0,2025-08-30,2026-01-02
U03934,Starter,15,2026-01-02,
U03949,Free,0,2026-07-02,2026-07-02
U03949,Pro,49,2026-07-02,
U03994,Free,0,2026-01-24,2026-05-17
U03994,Pro,49,2026-05-17,
