user_id,signup_date,acquisition_channel,acquisition_cost,country,device_type,signup_quality_score
U00032,2025-03-24,Paid Social,31.81,USA,Desktop,0.233
U00033,2025-07-26,Affiliate,30.32,UK,Tablet,0.453
U00034,2025-04-28,Email,0.41,USA,Mobile,0.195
U00035,2025-02-13,Referral,0.69,UK,Desktop,0.336
U00036,2025-11-06,Referral,0.0,USA,Desktop,0.332
U00037,2025-02-14,Paid Social,20.53,UAE,Mobile,0.61
U00038,2025-11-13,Paid Search,40.43,India,Desktop,0.624
U00039,2025-09-28,Email,3.23,Brazil,Desktop,0.157
U00040,2026-05-30,Referral,5.04,UK,Desktop,0.447
U00041,2025-09-14,Content/SEO,0.0,UK,Mobile,0.494
U00042,2026-02-04,Paid Social,37.5,USA,Desktop,0.257
U00043,2025-07-17,Organic Search,0.0,Brazil,Mobile,0.318
U00044,2025-09-13,Email,5.31,India,Desktop,0.404
U00045,2025-07-23,Email,2.68,UAE,Desktop,0.329
U00046,2026-01-12,Paid Social,10.65,USA,Mobile,0.207
U00047,2025-12-10,Content/SEO,0.0,USA,Desktop,0.231
U00048,2025-03-03,Paid Social,18.3,USA,Mobile,0.593
U00049,2025-02-14,Paid Social,36.9,USA,Desktop,0.463
U00050,2025-05-10,Content/SEO,0.0,USA,Desktop,0.225
U00051,2025-12-06,Affiliate,15.5,Germany,Desktop,0.723
U00052,2026-05-20,Paid Social,24.35,USA,Desktop,0.615
U00053,2025-12-07,Paid Search,44.68,UK,Desktop,0.672
U00054,2026-07-08,Paid Search,56.67,USA,Mobile,0.25
U00055,2026-07-29,Paid Search,34.17,Brazil,Mobile,0.329
U00056,2025-12-08,Organic Search,0.0,USA,Mobile,0.147
U00057,2026-06-07,Organic Search,0.0,USA,Mobile,0.307
U00058,2025-05-30,Referral,4.69,India,Mobile,0.506
U00059,2026-01-23,Content/SEO,0.0,USA,Desktop,0.425
U00060,2026-06-07,Paid Social,44.4,India,Desktop,0.69
U00061,2025-07-10,Content/SEO,0.0,Germany,Tablet,0.363
U00062,2025-10-26,Organic Search,0.0,India,Desktop,0.306
U00063,2025-08-06,Email,2.12,USA,Desktop,0.759
U00064,2026-02-16,Paid Social,34.76,India,Desktop,0.392
U00065,2025-11-15,Paid Search,0.0,Brazil,Desktop,0.542
U00066,2025-11-07,Email,4.51,UK,Desktop,0.447
U00067,2026-06-01,Affiliate,22.8,Australia,Tablet,0.013
U00068,2025-08-10,Affiliate,7.89,Australia,Desktop,0.419
U00069,2025-06-14,Paid Social,19.32,USA,Desktop,0.659
U00070,2025-09-22,Organic Search,0.0,India,Tablet,0.263
U00071,2025-10-03,Paid Search,28.82,Canada,Desktop,0.372
U00072,2026-02-26,Paid Social,43.61,UAE,Tablet,0.097
U00073,2026-02-18,Paid Social,30.83,Germany,Desktop,0.494
U00074,2025-12-07,Paid Search,53.71,UAE,Desktop,0.382
U00075,2026-06-05,Paid Social,33.75,Canada,Desktop,0.285
U00076,2025-06-14,Referral,7.92,India,Mobile,0.243
U00077,2025-01-24,Organic Search,0.0,UAE,Desktop,0.628
U00078,2025-09-17,Organic Search,0.0,UK,Mobile,0.193
U00079,2026-06-06,Paid Search,20.16,USA,Mobile,0.139
U00080,2025-09-25,Paid Search,26.26,UK,Desktop,0.465
U00081,2026-02-07,Paid Social,24.88,UK,Desktop,0.126
U00082,2025-03-06,Affiliate,1.55,USA,Mobile,0.124
U00083,2025-11-20,Paid Search,32.83,India,Mobile,0.861
U00084,2026-07-10,Paid Search,38.06,India,Mobile,0.213
U00085,2025-10-17,Organic Search,0.0,India,Tablet,0.696
U00086,2025-07-24,Affiliate,17.6,USA,Desktop,0.286
U00087,2026-04-12,Paid Search,20.94,Brazil,Mobile,0.659
U00088,2025-05-28,Email,0.0,India,Desktop,0.329
U00089,2025-01-16,Email,2.94,Germany,Desktop,0.325
U00090,2025-03-20,Affiliate,20.18,Germany,Desktop,0.731
U00091,2026-04-11,Content/SEO,0.0,USA,Mobile,0.28
U00092,2026-05-08,Affiliate,28.07,USA,Desktop,0.266
U00093,2026-04-20,Organic Search,0.0,UK,Desktop,0.421
U00094,2025-12-27,Referral,7.1,Germany,Desktop,0.747
U00095,2025-02-09,Referral,5.54,USA,Desktop,0.418
U00096,2026-03-08,Email,4.95,Australia,Desktop,0.051
U00097,2025-06-23,Paid Social,37.8,USA,Desktop,0.378
U00098,2025-12-05,Content/SEO,0.0,UK,Desktop,0.607
U00099,2026-03-28,Content/SEO,0.0,UK,Desktop,0.375
U00100,2025-12-13,Organic Search,0.0,USA,Mobile,0.197
U00101,2025-03-24,Email,3.39,UK,Mobile,0.492
U00102,2026-02-19,Referral,8.67,USA,Desktop,0.099
U00103,2026-01-06,Paid Search,56.8,Brazil,Mobile,0.156
U00104,2026-01-29,Email,0.0,Brazil,Desktop,0.105
U00105,2025-09-19,Paid Search,37.5,USA,Mobile,0.74
U00106,2025-10-04,Email,1.75,India,Mobile,0.698
U00107,2025-07-04,Organic Search,0.0,Brazil,Mobile,0.402
U00108,2025-11-20,Affiliate,22.86,Australia,Mobile,0.587
U00109,2025-08-29,Organic Search,0.0,Canada,Desktop,0.153
U00110,2025-12-10,Affiliate,15.11,Australia,Mobile,0.813
U00111,2025-10-04,Content/SEO,0.0,USA,Mobile,0.389
U00112,2026-05-19,Organic Search,0.0,Brazil,Mobile,0.529
U00113,2025-06-19,Paid Search,41.01,Australia,Desktop,0.412
U00114,2025-06-28,Paid Search,38.74,Canada,Desktop,0.473
U00115,2025-04-19,Organic Search,0.0,USA,Desktop,0.515
U00116,2026-03-13,Email,3.26,UAE,Desktop,0.239
U00117,2026-04-29,Referral,0.66,India,Tablet,0.034
U00118,2025-11-07,Paid Social,43.73,Brazil,Desktop,0.514
U00119,2025-10-13,Affiliate,23.52,USA,Tablet,0.433
U00120,2026-02-10,Paid Search,45.62,USA,Desktop,0.419
U00121,2026-03-21,Content/SEO,0.0,India,Desktop,0.618
U00122,2026-04-24,Paid Social,19.83,India,Desktop,0.173
U00123,2026-03-10,Paid Search,50.35,Germany,Desktop,0.309
U00124,2025-12-07,Affiliate,8.42,UK,Mobile,0.265
U00125,2025-07-31,Content/SEO,0.0,Germany,Desktop,0.468
U00126,2026-01-04,Organic Search,0.0,Germany,Desktop,0.567
U00127,2026-04-03,Paid Search,26.31,Australia,Mobile,0.391
U00128,2025-06-18,Paid Search,37.97,India,Desktop,0.258
U00129,2026-05-18,Paid Social,34.77,USA,Desktop,0.639
U00130,2025-04-23,Paid Social,30.69,UAE,Mobile,0.578
U00131,2026-07-29,Email,1.85,UK,Desktop,0.439
U00132,2026-01-01,Paid Social,27.69,USA,Desktop,0.604
U00133,2026-07-03,Paid Social,31.83,UK,Mobile,0.089
U00134,2025-09-29,Paid Social,28.92,India,Desktop,0.18
U00135,2026-06-17,Paid Social,34.25,Brazil,Mobile,0.143
U00136,2026-02-22,Organic Search,0.0,USA,Desktop,0.377
U00137,2026-03-08,Referral,7.75,India,Mobile,0.813
U00138,2026-07-19,Content/SEO,0.0,Germany,Desktop,0.457
U00139,2025-06-30,Organic Search,0.0,USA,Desktop,0.221
U00140,2026-06-14,Paid Social,28.81,Australia,Desktop,0.409
U00141,2026-07-13,Paid Social,27.23,UK,Desktop,0.395
U00142,2026-07-28,Referral,2.2,India,Desktop,0.392
U00143,2025-11-04,Referral,1.71,USA,Mobile,0.22
U00144,2026-07-17,Content/SEO,0.0,USA,Desktop,0.171
U00145,2026-04-16,Organic Search,0.0,UAE,Desktop,0.751
U00146,2025-01-22,Organic Search,0.0,USA,Mobile,0.551
U00147,2026-02-21,Paid Social,34.64,Australia,Mobile,0.106
U00148,2025-07-15,Affiliate,10.1,UK,Tablet,0.566
U00149,2025-05-06,Email,3.44,UK,Mobile,0.43
U00150,2026-03-31,Paid Social,34.52,Australia,Desktop,0.282
U00151,2026-04-30,Email,4.49,Canada,Desktop,0.293
U00152,2026-06-18,Paid Search,67.18,USA,Mobile,0.598
U00153,2025-10-09,Content/SEO,0.0,UK,Mobile,0.561
U00154,2025-05-05,Paid Search,51.56,USA,Desktop,0.285
U00155,2026-03-20,Paid Search,35.51,India,Desktop,0.326
U00156,2025-12-27,Organic Search,0.0,USA,Mobile,0.608
U00157,2026-05-03,Content/SEO,0.0,USA,Desktop,0.408
U00158,2025-08-14,Paid Social,24.32,India,Desktop,0.481
U00159,2025-06-06,Paid Social,29.7,Brazil,Desktop,0.223
U00160,2025-11-21,Referral,1.79,Australia,Mobile,0.539
U00161,2025-12-16,Paid Search,72.39,USA,Desktop,0.43
U00162,2025-05-28,Content/SEO,0.0,Australia,Tablet,0.4
U00163,2025-08-06,Paid Social,28.61,Canada,Desktop,0.419
U00164,2026-03-04,Referral,1.06,USA,Desktop,0.477
U00165,2026-01-30,Paid Social,0.0,USA,Desktop,0.646
U00166,2026-03-14,Referral,9.47,India,Desktop,0.336
U00167,2026-04-12,Paid Social,9.59,USA,Mobile,0.915
U00168,2026-07-12,Organic Search,0.0,India,Desktop,0.276
U00169,2026-05-06,Organic Search,0.0,Germany,Desktop,0.031
U00170,2026-01-28,Paid Social,34.95,USA,Desktop,0.026
U00171,2025-06-20,Organic Search,0.0,India,Mobile,0.053
U00172,2025-12-16,Paid Search,52.13,Canada,Mobile,0.132
U00173,2025-03-24,Paid Search,25.91,USA,Desktop,0.328
U00174,2025-06-07,Paid Social,25.25,UAE,Desktop,0.458
U00175,2026-06-23,Referral,2.09,Canada,Mobile,0.35
U00176,2026-04-21,Content/SEO,0.0,UAE,Desktop,0.322
U00177,2026-05-17,Organic Search,0.0,USA,Desktop,0.272
U00178,2025-10-13,Referral,2.44,UK,Desktop,0.626
U00179,2025-03-11,Referral,4.17,Canada,Desktop,0.095
U00180,2026-06-02,Referral,7.67,Canada,Desktop,0.486
U00181,2025-04-19,Content/SEO,0.0,UAE,Desktop,0.155
U00182,2025-11-09,Organic Search,0.0,India,Mobile,0.655
U00183,2026-02-13,Affiliate,7.76,India,Mobile,0.677
U00184,2026-05-18,Organic Search,0.0,Germany,Mobile,0.324
U00185,2025-07-20,Organic Search,0.0,Canada,Mobile,0.248
U00186,2026-06-16,Referral,9.37,USA,Tablet,0.065
U00187,2025-03-05,Content/SEO,0.0,India,Desktop,0.379
U00188,2026-01-11,Paid Search,22.73,India,Desktop,0.252
U00189,2025-06-04,Email,1.31,Australia,Desktop,0.281
U00190,2025-02-26,Affiliate,17.74,UK,Mobile,0.121
U00191,2025-10-09,Content/SEO,0.0,India,Mobile,0.229
U00192,2025-10-26,Affiliate,18.05,USA,Mobile,0.562
U00193,2025-05-24,Paid Social,20.77,India,Desktop,0.411
U00194,2026-03-14,Content/SEO,0.0,USA,Mobile,0.334
U00195,2025-10-25,Email,2.97,USA,Mobile,0.019
U00196,2025-10-08,Paid Search,11.56,India,Desktop,0.465
U00197,2026-02-01,Paid Search,40.22,USA,Mobile,0.364
U00198,2025-07-05,Organic Search,0.0,USA,Mobile,0.474
U00199,2025-09-14,Paid Search,65.15,Brazil,Mobile,0.254
U00200,2025-06-07,Paid Search,25.31,USA,Tablet,0.142
U00201,2025-10-21,Organic Search,0.0,Canada,Desktop,0.485
U00202,2026-02-22,Content/SEO,0.0,Germany,Mobile,0.234
U00203,2025-08-25,Paid Social,42.26,Canada,Desktop,0.47
U00204,2026-05-18,Paid Search,50.45,Germany,Desktop,0.276
U00205,2025-12-24,Referral,4.4,India,Desktop,0.174
U00206,2026-07-05,Paid Social,33.14,Canada,Desktop,0.196
U00207,2026-04-15,Content/SEO,0.0,USA,Desktop,0.18
U00208,2026-04-04,Organic Search,0.0,USA,Desktop,0.213
U00209,2025-06-05,Paid Social,21.22,Canada,Desktop,0.16
U00210,2025-06-25,Organic Search,0.0,India,Mobile,0.447
U00211,2026-03-24,Affiliate,22.01,UK,Desktop,0.249
U00212,2025-12-26,Organic Search,0.0,USA,Desktop,0.764
U00213,2025-12-04,Organic Search,0.0,USA,Desktop,0.345
U00214,2025-03-11,Paid Search,34.05,UAE,Desktop,0.297
U00215,2026-04-18,Referral,7.22,USA,Mobile,0.371
U00216,2025-08-12,Paid Social,20.25,Brazil,Desktop,0.395
U00217,2026-07-21,Paid Social,39.4,India,Desktop,0.552
U00218,2026-01-18,Organic Search,0.0,UAE,Desktop,0.354
U00219,2025-11-27,Email,8.38,India,Desktop,0.594
U00220,2025-07-22,Referral,9.92,USA,Desktop,0.671
U00221,2025-10-16,Referral,5.43,India,Tablet,0.21
U00222,2026-04-26,Organic Search,0.0,Canada,Desktop,0.41
U00223,2025-05-21,Content/SEO,0.0,USA,Desktop,0.658
U00224,2026-03-06,Paid Social,5.5,India,Mobile,0.534
U00225,2025-11-01,Affiliate,0.0,India,Mobile,0.488
U00226,2025-04-02,Referral,6.53,Canada,Tablet,0.628
U00227,2026-03-29,Organic Search,0.0,USA,Mobile,0.646
U00228,2026-06-02,Organic Search,0.0,USA,Desktop,0.502
U00229,2026-07-28,Organic Search,0.0,India,Desktop,0.322
U00230,2026-04-09,Paid Search,9.54,USA,Mobile,0.341
U00231,2025-07-18,Content/SEO,0.0,India,Mobile,0.309
U00232,2026-01-28,Affiliate,13.29,Canada,Mobile,0.408
U00233,2025-05-27,Referral,9.76,Brazil,Desktop,0.698
U00234,2025-12-07,Paid Social,37.36,Germany,Mobile,0.418
U00235,2026-03-16,Email,0.0,USA,Desktop,0.598
U00236,2026-03-21,Paid Search,34.78,Canada,Desktop,0.312
U00237,2025-08-24,Paid Search,7.94,USA,Mobile,0.239
U00238,2025-11-14,Referral,6.34,UAE,Desktop,0.822
U00239,2026-03-31,Paid Social,15.24,USA,Desktop,0.244
U00240,2026-07-21,Paid Social,36.97,India,Desktop,0.541
U00241,2025-09-18,Organic Search,0.0,UAE,Mobile,0.517
U00242,2025-12-03,Referral,10.31,UAE,Tablet,0.502
U00243,2026-04-04,Referral,6.13,USA,Desktop,0.344
U00244,2026-01-07,Content/SEO,0.0,India,Mobile,0.082
U00245,2025-06-13,Email,2.33,USA,Desktop,0.469
U00246,2025-06-27,Referral,6.78,India,Desktop,0.713
U00247,2026-02-21,Paid Search,21.58,India,Mobile,0.17
U00248,2025-11-04,Email,4.03,India,Mobile,0.557
U00249,2025-12-16,Paid Search,22.7,UAE,Mobile,0.489
U00250,2026-07-22,Paid Social,30.56,India,Desktop,0.619
U00251,2026-03-14,Paid Search,48.09,UAE,Desktop,0.187
U00252,2025-08-20,Paid Social,13.13,UAE,Mobile,0.057
U00253,2025-08-04,Paid Social,20.21,India,Desktop,0.313
U00254,2025-04-08,Paid Search,76.39,Canada,Mobile,0.167
U00255,2026-05-22,Content/SEO,0.0,USA,Desktop,0.267
U00256,2025-04-15,Affiliate,27.29,India,Mobile,0.263
U00257,2025-11-10,Organic Search,0.0,UAE,Desktop,0.82
U00258,2025-07-21,Paid Search,53.54,USA,Desktop,0.118
U00259,2025-09-22,Paid Social,0.0,USA,Tablet,0.475
U00260,2025-08-17,Email,5.9,India,Desktop,0.254
U00261,2025-09-13,Email,1.52,India,Mobile,0.444
U00262,2026-06-19,Paid Social,35.66,USA,Mobile,0.445
U00263,2025-03-16,Affiliate,4.75,USA,Desktop,0.203
U00264,2025-02-12,Paid Search,46.77,Brazil,Desktop,0.486
U00265,2026-06-03,Email,2.52,Australia,Desktop,0.405
U00266,2026-04-07,Content/SEO,0.0,India,Mobile,0.369
U00267,2026-07-12,Paid Social,18.06,Australia,Desktop,0.36
U00268,2025-09-10,Paid Search,43.06,UK,Tablet,0.613
U00269,2025-04-30,Paid Social,34.69,USA,Desktop,0.502
U00270,2025-04-01,Paid Search,31.06,UK,Desktop,0.1
U00271,2026-04-28,Paid Social,53.07,India,Desktop,0.315
U00272,2025-08-27,Referral,11.56,UK,Desktop,0.189
U00273,2026-01-16,Content/SEO,0.0,USA,Mobile,0.757
U00274,2026-01-07,Content/SEO,0.0,Australia,Desktop,0.217
U00275,2025-05-26,Referral,4.43,Australia,Tablet,0.452
U00276,2025-06-11,Paid Social,35.42,USA,Desktop,0.562
U00277,2026-04-15,Referral,5.8,Australia,Mobile,0.457
U00278,2026-04-29,Paid Social,8.76,UK,Desktop,0.047
U00279,2025-01-26,Content/SEO,0.0,India,Mobile,0.548
U00280,2025-07-17,Organic Search,0.0,India,Tablet,0.872
U00281,2026-04-12,Paid Search,32.16,Germany,Mobile,0.599
U00282,2025-04-28,Email,0.0,Australia,Mobile,0.497
U00283,2026-06-17,Paid Search,41.34,India,Mobile,0.076
U00284,2026-03-29,Content/SEO,0.0,Brazil,Desktop,0.256
U00285,2026-01-23,Organic Search,0.0,UK,Mobile,0.693
U00286,2025-06-14,Affiliate,15.36,Canada,Desktop,0.286
U00287,2025-01-22,Organic Search,0.0,UK,Mobile,0.374
U00288,2026-07-09,Paid Social,37.52,Germany,Mobile,0.282
U00289,2026-03-11,Organic Search,0.0,Canada,Desktop,0.159
U00290,2025-12-28,Paid Search,26.63,USA,Desktop,0.113
U00291,2026-08-05,Referral,4.78,Canada,Desktop,0.388
U00292,2025-06-06,Organic Search,0.0,Brazil,Desktop,0.466
U00293,2026-01-01,Paid Search,2.7,Brazil,Desktop,0.742
U00294,2025-11-03,Paid Social,37.27,USA,Desktop,0.548
U00295,2025-10-01,Organic Search,0.0,Australia,Mobile,0.395
U00296,2025-04-12,Referral,3.39,USA,Desktop,0.126
U00297,2025-06-08,Paid Search,52.2,UK,Mobile,0.546
U00298,2026-01-15,Paid Social,28.39,USA,Mobile,0.127
U00299,2026-04-02,Organic Search,0.0,India,Desktop,0.304
U00300,2025-11-12,Paid Search,40.94,UK,Desktop,0.32
U00301,2025-03-20,Affiliate,28.11,USA,Tablet,0.411
U00302,2026-04-07,Referral,5.83,USA,Desktop,0.403
U00303,2025-03-15,Referral,8.37,Canada,Desktop,0.461
U00304,2026-07-04,Referral,3.68,India,Mobile,0.476
U00305,2025-08-26,Paid Search,23.24,Canada,Desktop,0.124
U00306,2025-09-04,Paid Search,41.79,UK,Mobile,0.303
U00307,2025-11-22,Referral,7.05,Canada,Mobile,0.659
U00308,2025-08-25,Email,4.28,UK,Mobile,0.105
U00309,2025-11-26,Referral,7.58,India,Desktop,0.257
U00310,2026-03-05,Referral,2.9,Canada,Desktop,0.21
U00311,2026-03-07,Paid Search,25.82,Canada,Desktop,0.7
U00312,2026-05-11,Organic Search,0.0,UK,Tablet,0.367
U00313,2026-08-03,Paid Social,33.01,Brazil,Mobile,0.469
U00314,2025-12-16,Paid Search,21.1,Australia,Desktop,0.138
U00315,2025-06-09,Content/SEO,0.0,Canada,Desktop,0.28
U00316,2026-07-05,Organic Search,0.0,UAE,Desktop,0.451
U00317,2025-10-23,Affiliate,33.42,Australia,Mobile,0.066
U00318,2025-12-27,Affiliate,29.24,UAE,Mobile,0.584
U00319,2026-05-12,Paid Search,33.02,Canada,Desktop,0.463
U00320,2025-04-04,Paid Social,14.66,India,Mobile,0.125
U00321,2026-03-22,Referral,0.0,UK,Mobile,0.58
U00322,2026-03-24,Affiliate,19.36,USA,Desktop,0.228
U00323,2026-03-25,Organic Search,0.0,Brazil,Desktop,0.192
U00324,2025-10-29,Email,2.63,USA,Desktop,0.183
U00325,2026-01-26,Email,0.72,Brazil,Desktop,0.254
U00326,2026-03-02,Paid Social,14.27,USA,Tablet,0.235
U00327,2026-01-17,Paid Search,41.95,India,Desktop,0.299
U00328,2026-01-24,Email,1.02,USA,Desktop,0.718
U00329,2025-08-18,Referral,7.71,Canada,Tablet,0.502
U00330,2026-01-18,Paid Social,29.18,Canada,Desktop,0.577
U00331,2025-06-05,Paid Social,11.59,USA,Desktop,0.484
U00332,2025-03-20,Paid Social,24.01,UAE,Desktop,0.458
U00333,2025-12-30,Paid Search,45.98,India,Tablet,0.226
U00334,2026-06-13,Email,2.81,USA,Mobile,0.297
U00335,2025-07-09,Paid Social,12.25,UAE,Desktop,0.514
U00336,2025-08-18,Paid Search,59.51,USA,Desktop,0.17
U00337,2026-07-06,Email,3.74,India,Mobile,0.031
U00338,2026-02-19,Referral,3.04,UK,Desktop,0.098
U00339,2026-05-11,Content/SEO,0.0,USA,Desktop,0.311
U00340,2026-05-27,Referral,3.99,USA,Mobile,0.373
U00341,2026-06-29,Organic Search,0.0,USA,Mobile,0.925
U00342,2026-07-23,Paid Search,51.69,USA,Mobile,0.441
U00343,2025-04-21,Organic Search,0.0,Australia,Desktop,0.627
U00344,2025-09-23,Organic Search,0.0,USA,Desktop,0.315
U00345,2026-03-16,Referral,4.47,USA,Desktop,0.327
U00346,2026-04-02,Content/SEO,0.0,USA,Desktop,0.134
U00347,2025-08-20,Organic Search,0.0,USA,Mobile,0.78
U00348,2025-10-18,Paid Social,15.24,Canada,Desktop,0.617
U00349,2026-04-10,Content/SEO,0.0,India,Desktop,0.464
U00350,2026-02-20,Paid Social,32.73,UAE,Desktop,0.154
U00351,2026-06-05,Content/SEO,0.0,Australia,Desktop,0.604
U00352,2026-05-17,Paid Social,50.85,UAE,Desktop,0.81
U00353,2026-06-01,Paid Social,32.83,India,Mobile,0.401
U00354,2025-06-14,Paid Social,14.74,Brazil,Desktop,0.51
U00355,2026-02-17,Organic Search,0.0,UK,Desktop,0.58
U00356,2025-07-27,Paid Search,40.63,UK,Desktop,0.218
U00357,2026-04-24,Paid Search,20.95,UAE,Desktop,0.27
U00358,2026-03-16,Paid Social,13.43,UK,Desktop,0.16
U00359,2025-10-19,Content/SEO,0.0,Australia,Mobile,0.964
U00360,2026-05-05,Content/SEO,0.0,Canada,Desktop,0.39
U00361,2026-03-18,Paid Social,14.44,USA,Desktop,0.706
U00362,2026-06-23,Paid Social,20.32,India,Desktop,0.341
U00363,2026-04-27,Paid Social,27.23,Germany,Desktop,0.445
U00364,2025-03-15,Organic Search,0.0,Brazil,Desktop,0.37
U00365,2025-11-17,Email,0.82,USA,Desktop,0.389
U00366,2025-07-24,Content/SEO,0.0,Australia,Desktop,0.307
U00367,2025-06-11,Referral,0.0,UK,Desktop,0.742
U00368,2026-02-17,Organic Search,0.0,India,Mobile,0.682
U00369,2025-08-15,Content/SEO,0.0,Australia,Mobile,0.362
U00370,2025-06-23,Affiliate,27.8,UK,Desktop,0.068
U00371,2025-10-10,Referral,5.6,USA,Mobile,0.568
U00372,2025-11-26,Paid Search,19.58,USA,Mobile,0.205
U00373,2026-06-04,Paid Search,36.16,Canada,Desktop,0.498
U00374,2026-01-14,Content/SEO,0.0,Australia,Tablet,0.577
U00375,2025-12-26,Content/SEO,0.0,UK,Mobile,0.313
U00376,2025-10-12,Organic Search,0.0,Brazil,Mobile,0.299
U00377,2025-10-07,Paid Search,1.46,USA,Mobile,0.357
U00378,2025-02-02,Paid Search,35.88,India,Desktop,0.485
U00379,2025-08-07,Email,3.97,UK,Desktop,0.841
U00380,2025-08-31,Organic Search,0.0,UK,Desktop,0.455
U00381,2025-08-26,Content/SEO,0.0,USA,Desktop,0.494
U00382,2025-03-29,Paid Search,38.38,India,Mobile,0.318
U00383,2025-04-13,Content/SEO,0.0,UK,Desktop,0.273
U00384,2026-01-15,Organic Search,0.0,USA,Desktop,0.14
U00385,2025-11-26,Referral,9.52,USA,Mobile,0.163
U00386,2026-05-10,Paid Social,38.27,India,Desktop,0.45
U00387,2026-06-16,Content/SEO,0.0,USA,Desktop,0.023
U00388,2026-05-31,Paid Search,22.39,Germany,Desktop,0.226
U00389,2026-03-12,Referral,3.93,USA,Desktop,0.288
U00390,2025-11-07,Referral,2.97,USA,Desktop,0.36
U00391,2026-06-22,Organic Search,0.0,USA,Desktop,0.862
U00392,2025-11-27,Paid Search,33.34,USA,Mobile,0.161
U00393,2026-07-12,Organic Search,0.0,India,Mobile,0.232
U00394,2025-07-09,Paid Social,25.96,Australia,Mobile,0.449
U00395,2026-02-03,Organic Search,0.0,Australia,Desktop,0.104
U00396,2025-11-26,Organic Search,0.0,Brazil,Mobile,0.476
U00397,2025-08-18,Referral,1.41,UK,Mobile,0.451
U00398,2026-04-26,Paid Social,6.09,USA,Desktop,0.37
U00399,2025-08-21,Paid Search,38.33,Australia,Desktop,0.501
U00400,2025-11-15,Email,4.79,Brazil,Desktop,0.448
U00401,2025-06-04,Email,0.9,USA,Desktop,0.647
U00402,2025-10-15,Paid Social,31.91,India,Desktop,0.131
U00403,2026-07-24,Paid Search,18.94,India,Desktop,0.748
U00404,2025-03-18,Paid Social,51.41,USA,Desktop,0.06
U00405,2026-05-05,Email,4.21,India,Mobile,0.29
U00406,2026-01-16,Content/SEO,0.0,Australia,Desktop,0.104
U00407,2025-10-11,Organic Search,0.0,USA,Desktop,0.496
U00408,2026-06-22,Content/SEO,0.0,Germany,Desktop,0.186
U00409,2026-02-23,Content/SEO,0.0,India,Mobile,0.133
U00410,2025-09-20,Content/SEO,0.0,India,Mobile,0.525
U00411,2025-11-01,Referral,8.43,UK,Mobile,0.603
U00412,2025-11-25,Email,6.52,UK,Desktop,0.456
U00413,2025-04-21,Organic Search,0.0,India,Desktop,0.128
U00414,2025-05-04,Paid Search,69.18,USA,Desktop,0.501
U00415,2025-04-10,Paid Search,58.85,India,Desktop,0.57
U00416,2026-03-13,Email,2.25,USA,Mobile,0.528
U00417,2026-05-02,Email,6.18,UK,Desktop,0.59
U00418,2026-02-06,Paid Social,3.22,UK,Mobile,0.578
U00419,2025-08-04,Email,3.36,India,Mobile,0.346
U00420,2026-06-28,Referral,2.5,India,Desktop,0.258
U00421,2025-04-24,Organic Search,0.0,USA,Desktop,0.657
U00422,2026-02-20,Email,2.85,India,Mobile,0.493
U00423,2025-08-02,Paid Social,31.81,USA,Desktop,0.764
U00424,2026-01-19,Paid Social,33.23,India,Desktop,0.023
U00425,2026-04-20,Organic Search,0.0,India,Desktop,0.734
